agent_id,type,horizon,final_wealth,return_pct,trades
41,momentum,,258227838.11730117,25722.783811730118,762
211,value,,161673829.9009486,16067.382990094862,818
182,value,,125518614.12535764,12451.861412535764,790
98,momentum,,79292338.18621509,7829.233818621509,788
50,momentum,,78937329.81564203,7793.732981564203,791
113,value,,77796999.32673588,7679.699932673589,820
221,random,,64974956.595071524,6397.495659507152,800
135,value,,64778334.34819384,6377.833434819384,838
209,value,,46439680.18428082,4543.968018428081,760
96,momentum,,42113223.9401682,4111.32239401682,750
200,value,,40261730.65514348,3926.1730655143474,762
155,value,,36056774.81094117,3505.6774810941165,806
225,random,,35945119.09914613,3494.5119099146127,800
62,momentum,,31719383.339893572,3071.938333989357,634
183,value,,31174681.969275456,3017.4681969275453,773
131,value,,26662092.597553156,2566.2092597553155,822
139,value,,25435454.785921454,2443.5454785921456,759
120,value,,24831420.166778956,2383.1420166778953,812
142,value,,24629500.080223214,2362.9500080223215,749
162,value,,23879864.19296598,2287.9864192965983,754
81,momentum,,22567469.280223805,2156.7469280223804,776
105,momentum,,20775299.23790775,1977.529923790775,825
66,momentum,,18957304.497821283,1795.7304497821283,835
189,value,,18639889.167894047,1763.9889167894048,747
55,momentum,,16776852.016621495,1577.6852016621494,822
86,momentum,,16642615.652839303,1564.2615652839304,763
88,momentum,,16358435.885814339,1535.8435885814338,832
9,mlp,15.0,15886726.64891774,1488.672664891774,681
192,value,,15652618.655217314,1465.2618655217314,798
223,random,,14225772.936453063,1322.5772936453063,807
19,momentum,,14184543.812682243,1318.4543812682243,775
116,value,,11421755.841987723,1042.1755841987724,776
121,value,,11348247.69356791,1034.824769356791,776
64,momentum,,11181036.030279035,1018.1036030279035,816
114,value,,10745432.135646556,974.5432135646556,863
28,momentum,,10639297.603126863,963.9297603126863,830
71,momentum,,10136811.634643083,913.6811634643083,736
35,momentum,,10090676.062226202,909.0676062226203,779
74,momentum,,10039582.807775756,903.9582807775756,699
30,momentum,,9848388.372162066,884.8388372162067,801
53,momentum,,9742219.65244448,874.2219652444479,801
89,momentum,,8974619.448447866,797.4619448447866,779
27,momentum,,8758713.122411262,775.8713122411261,789
45,momentum,,8685373.35005847,768.5373350058469,725
12,momentum,,8422786.578527076,742.2786578527075,824
157,value,,8199975.0418893695,719.9975041889369,758
95,momentum,,7768122.369812356,676.8122369812356,706
196,value,,7384466.824084499,638.4466824084499,756
82,momentum,,7331104.848891462,633.1104848891462,805
92,momentum,,6738424.770858562,573.8424770858562,727
87,momentum,,6377465.053186175,537.7465053186176,771
8,cnn,45.0,6264536.692280981,526.4536692280981,762
119,value,,6049970.058326516,504.9970058326516,812
51,momentum,,6042649.967569356,504.2649967569356,743
132,value,,6008302.718274622,500.83027182746224,799
134,value,,5951952.583962686,495.1952583962686,812
109,momentum,,5830558.046033963,483.0558046033962,812
25,momentum,,5778826.6590894135,477.88266590894136,794
217,random,,5655286.979565631,465.52869795656306,764
228,random,,5495722.196647633,449.5722196647633,827
222,random,,5339319.014787547,433.9319014787547,824
220,random,,5044172.996939963,404.4172996939963,847
171,value,,4974030.812867739,397.40308128677395,729
207,value,,4964418.3773384765,396.44183773384765,829
24,momentum,,4889196.600646788,388.91966006467885,781
40,momentum,,4885310.032202361,388.53100322023613,825
140,value,,4742439.235769483,374.2439235769483,782
22,momentum,,4712496.283070803,371.2496283070803,764
169,value,,4617195.756746359,361.71957567463596,839
148,value,,4137994.9566485155,313.7994956648516,811
44,momentum,,4041532.17903657,304.153217903657,723
213,random,,4009083.965726652,300.9083965726652,813
187,value,,3967094.484395547,296.70944843955465,848
90,momentum,,3949660.2906473307,294.9660290647331,773
193,value,,3918702.8226690204,291.87028226690205,784
58,momentum,,3893293.2040462326,289.3293204046233,856
104,momentum,,3890112.5701659136,289.01125701659134,731
174,value,,3883893.7527149413,288.3893752714941,787
197,value,,3569367.541351266,256.93675413512665,733
14,momentum,,3561859.0302292593,256.1859030229259,853
201,value,,3545395.481581032,254.5395481581032,768
73,momentum,,3527957.575055982,252.7957575055982,810
136,value,,3463180.981424211,246.31809814242112,765
20,momentum,,3396152.0690768664,239.61520690768663,767
54,momentum,,3356018.4050035616,235.60184050035616,733
224,random,,3351411.3353048777,235.14113353048776,766
4,gru,30.0,3339063.223999333,233.90632239993332,717
229,random,,3330336.2387088626,233.03362387088623,849
212,random,,3312541.985840676,231.25419858406758,838
152,value,,3301621.555647209,230.16215556472085,797
32,momentum,,3225748.0788673395,222.57480788673396,737
0,lstm,15.0,3218311.5964972703,221.83115964972703,618
13,momentum,,3195825.478356488,219.5825478356488,817
102,momentum,,3078457.3361339583,207.84573361339582,754
69,momentum,,3058598.1927408334,205.85981927408335,747
10,mlp,30.0,3039748.0183880106,203.97480183880106,779
15,momentum,,2962109.7321004365,196.21097321004365,838
145,value,,2936484.9063836024,193.64849063836024,706
180,value,,2931297.0046622003,193.12970046622002,808
195,value,,2909315.560167711,190.9315560167711,683
215,random,,2885031.3158489675,188.50313158489675,804
150,value,,2881206.83560436,188.12068356043596,788
34,momentum,,2879618.27650999,187.96182765099897,736
26,momentum,,2860932.929551973,186.0932929551973,814
97,momentum,,2860083.8121719137,186.00838121719136,782
161,value,,2848654.091890212,184.86540918902122,790
43,momentum,,2800198.4958532467,180.0198495853247,722
129,value,,2755344.585752733,175.5344585752733,792
60,momentum,,2738793.1628994774,173.87931628994772,807
47,momentum,,2680162.674309527,168.0162674309527,825
85,momentum,,2607063.88274064,160.70638827406404,856
163,value,,2563888.9992129514,156.38889992129515,769
80,momentum,,2548038.537771489,154.8038537771489,728
203,value,,2531901.759603992,153.19017596039922,777
167,value,,2530122.999154937,153.0122999154937,762
72,momentum,,2505071.1041385685,150.50711041385685,800
100,momentum,,2476599.11175008,147.65991117500795,818
173,value,,2432315.968385368,143.2315968385368,724
39,momentum,,2407935.735388256,140.79357353882563,775
31,momentum,,2303609.195286461,130.3609195286461,804
202,value,,2228322.563961921,122.83225639619207,764
115,value,,2221327.92654095,122.13279265409498,828
164,value,,2203842.4616465895,120.38424616465892,752
37,momentum,,2198635.528703874,119.8635528703874,773
46,momentum,,2198162.2453350276,119.81622453350273,818
59,momentum,,2194476.481947416,119.4476481947416,776
56,momentum,,2170194.4451732715,117.01944451732716,730
166,value,,2120101.2426447226,112.01012426447225,762
