agent_id,type,horizon,final_wealth,return_pct,trades
20,cnn,15.0,10606484.274181843,960.6484274181844,242
5,lstm,30.0,6449761.31794715,544.976131794715,185
14,gru,30.0,5958203.116113348,495.8203116113348,201
29,mlp,15.0,5556689.981237774,455.66899812377744,223
17,gru,45.0,5072669.44946963,407.266944946963,231
35,mlp,45.0,4807285.281729268,380.72852817292676,210
32,mlp,30.0,4554956.023399755,355.49560233997556,203
11,gru,15.0,4258822.228850548,325.8822228850548,211
8,lstm,45.0,3655449.1847707834,265.54491847707834,196
2,lstm,15.0,2924907.299390499,192.4907299390499,201
23,cnn,30.0,2562055.90395928,156.20559039592797,198
26,cnn,45.0,2400263.0038846764,140.02630038846763,233
28,mlp,15.0,2020271.0486782468,102.02710486782469,177
4,lstm,30.0,1859602.0031539085,85.96020031539085,224
31,mlp,30.0,1844992.203114862,84.4992203114862,223
53,momentum,,1807016.400335263,80.70164003352629,236
59,momentum,,1800541.2793453117,80.05412793453117,224
113,momentum,,1800336.0436079844,80.03360436079845,235
108,momentum,,1800173.613566489,80.01736135664889,216
65,momentum,,1799369.3975332393,79.93693975332394,237
105,momentum,,1797986.3998462388,79.79863998462389,234
61,momentum,,1797734.1912736571,79.77341912736571,212
55,momentum,,1797709.7925726469,79.77097925726468,226
118,momentum,,1797550.039136927,79.7550039136927,250
123,momentum,,1796399.4118416375,79.63994118416376,229
82,momentum,,1795327.669418916,79.53276694189162,232
49,momentum,,1794940.2957021627,79.49402957021627,215
107,momentum,,1794410.6320883618,79.44106320883617,199
132,momentum,,1793850.0604342115,79.38500604342116,236
51,momentum,,1793693.4433090799,79.36934433090799,212
43,momentum,,1793470.1401151048,79.34701401151048,246
92,momentum,,1793269.3765685745,79.32693765685745,223
57,momentum,,1793223.6187118487,79.32236187118487,215
39,momentum,,1792730.6407999378,79.27306407999377,237
62,momentum,,1792693.1484495765,79.26931484495765,239
81,momentum,,1792650.0898982151,79.26500898982152,222
36,momentum,,1792555.2526355032,79.25552526355031,229
48,momentum,,1792466.436457552,79.2466436457552,223
115,momentum,,1792445.2765144603,79.24452765144603,212
84,momentum,,1792286.2707817524,79.22862707817524,221
52,momentum,,1792220.1265949202,79.22201265949202,227
83,momentum,,1792122.9251384381,79.2122925138438,228
74,momentum,,1791927.4162013957,79.19274162013956,214
112,momentum,,1791637.9854490762,79.16379854490762,227
95,momentum,,1791626.9877446415,79.16269877446416,223
79,momentum,,1791184.6580948166,79.11846580948165,223
96,momentum,,1791061.2765647846,79.10612765647846,223
85,momentum,,1791035.2053644613,79.10352053644614,224
46,momentum,,1790568.2883255596,79.05682883255596,223
88,momentum,,1790425.7242250028,79.04257242250029,227
102,momentum,,1790413.495965906,79.04134959659059,246
58,momentum,,1790230.1459713764,79.02301459713766,218
44,momentum,,1790106.293813332,79.0106293813332,215
73,momentum,,1789057.879348414,78.9057879348414,229
60,momentum,,1788982.442186513,78.8982442186513,223
127,momentum,,1788974.237248003,78.8974237248003,243
106,momentum,,1788923.7937575113,78.89237937575113,218
42,momentum,,1788407.2036027093,78.84072036027095,211
126,momentum,,1788032.2328581428,78.80322328581428,228
66,momentum,,1786667.2839411986,78.66672839411986,219
119,momentum,,1786660.8163072888,78.66608163072888,240
116,momentum,,1786550.837787251,78.6550837787251,221
47,momentum,,1786476.2749309572,78.64762749309573,215
125,momentum,,1786133.6141858539,78.6133614185854,225
69,momentum,,1786080.368004813,78.60803680048132,217
129,momentum,,1786052.1451384148,78.60521451384147,225
99,momentum,,1785999.2299646111,78.5999229964611,240
130,momentum,,1785931.1970168152,78.59311970168153,229
41,momentum,,1785848.0599153591,78.58480599153592,225
76,momentum,,1785511.1644069778,78.55111644069778,213
110,momentum,,1785471.5870265625,78.54715870265625,222
121,momentum,,1785203.7968272073,78.52037968272074,229
120,momentum,,1784625.9372274803,78.46259372274804,223
45,momentum,,1784556.2785580046,78.45562785580047,221
89,momentum,,1784452.410138813,78.4452410138813,224
114,momentum,,1784264.7535012495,78.42647535012495,219
135,momentum,,1783883.513779409,78.3883513779409,223
54,momentum,,1783511.9965057194,78.35119965057193,227
109,momentum,,1783271.37274314,78.327137274314,209
103,momentum,,1782791.7207023497,78.27917207023496,198
246,random,,1782726.4112467933,78.27264112467932,231
63,momentum,,1782633.9973590216,78.26339973590215,215
134,momentum,,1782599.6498163366,78.25996498163366,204
111,momentum,,1782518.8983644862,78.25188983644861,233
38,momentum,,1782368.4073482016,78.23684073482016,236
128,momentum,,1782310.8867986603,78.23108867986603,192
122,momentum,,1782118.1330345375,78.21181330345375,230
133,momentum,,1782100.5653357755,78.21005653357756,214
77,momentum,,1781898.1664104331,78.18981664104332,202
68,momentum,,1781786.0286969976,78.17860286969976,218
94,momentum,,1781502.5581684061,78.15025581684061,204
87,momentum,,1781320.498352019,78.13204983520193,210
64,momentum,,1781179.6248840883,78.11796248840884,200
100,momentum,,1780488.4438799662,78.04884438799662,207
40,momentum,,1780139.7514913473,78.01397514913472,233
78,momentum,,1780028.1110456656,78.00281110456655,242
72,momentum,,1779639.4006881216,77.96394006881215,216
287,random,,1779047.3922589598,77.90473922589598,223
131,momentum,,1778730.4405072182,77.87304405072182,210
275,random,,1778399.3183033757,77.83993183033758,231
124,momentum,,1778388.4802231502,77.83884802231502,234
67,momentum,,1778223.736405354,77.82237364053539,232
265,random,,1778092.9367440008,77.80929367440008,229
237,random,,1778041.8171117357,77.80418171117356,228
70,momentum,,1777928.2084179411,77.79282084179411,216
284,random,,1777898.5217136545,77.78985217136545,227
276,random,,1777765.8145251093,77.77658145251092,213
56,momentum,,1777611.5845514466,77.76115845514467,187
80,momentum,,1777460.885873647,77.7460885873647,202
251,random,,1777417.376611873,77.7417376611873,228
75,momentum,,1777172.5607713237,77.71725607713238,210
101,momentum,,1777014.1041989326,77.70141041989326,197
286,random,,1776994.653599337,77.69946535993371,236
256,random,,1775978.7281216201,77.59787281216202,237
97,momentum,,1775859.5213693096,77.58595213693096,204
91,momentum,,1775732.207738833,77.5732207738833,214
239,random,,1775575.8990377635,77.55758990377635,234
50,momentum,,1775161.687940524,77.51616879405239,218
86,momentum,,1775155.4609684017,77.51554609684017,216
104,momentum,,1774533.4782257662,77.45334782257662,207
98,momentum,,1774224.700855264,77.42247008552641,193
245,random,,1773853.515811027,77.38535158110271,225
259,random,,1773754.6463164252,77.37546463164252,231
282,random,,1773079.589798133,77.30795897981328,215
90,momentum,,1773030.8325075726,77.30308325075725,216
269,random,,1772711.0837091617,77.27110837091618,225
291,random,,1771955.5535462853,77.19555535462852,224
117,momentum,,1770737.2640307576,77.07372640307575,220
249,random,,1770250.799503258,77.02507995032579,199
268,random,,1770223.4110645596,77.02234110645595,225
93,momentum,,1770186.884518276,77.0186884518276,219
263,random,,1770119.0694354763,77.01190694354763,224
241,random,,1769687.4007993992,76.96874007993992,226
71,momentum,,1769305.9497662494,76.93059497662493,209
267,random,,1769284.5663203262,76.92845663203262,209
273,random,,1768899.5683038076,76.88995683038075,225
254,random,,1768763.0932718911,76.87630932718912,221
257,random,,1768519.2756694513,76.85192756694515,207
290,random,,1768491.5223563202,76.84915223563202,194
272,random,,1768058.70509934,76.80587050993401,226
288,random,,1767963.7900375105,76.79637900375104,221
289,random,,1767839.9991639892,76.78399991639893,219
283,random,,1767623.7085393923,76.76237085393925,204
278,random,,1767561.2283364004,76.75612283364003,227
262,random,,1767085.5881611113,76.70855881611114,212
37,momentum,,1767001.0943575264,76.70010943575265,210
294,random,,1766658.3678579414,76.66583678579416,195
297,random,,1766365.249053752,76.6365249053752,205
242,random,,1766059.935234793,76.6059935234793,208
236,random,,1765537.651150661,76.55376511506611,214
296,random,,1765520.2931627587,76.55202931627588,194
270,random,,1765306.3894806835,76.53063894806836,206
293,random,,1765063.1594891576,76.50631594891577,221
248,random,,1764530.5214438583,76.45305214438582,209
285,random,,1764436.8089103433,76.44368089103433,209
255,random,,1764306.605253403,76.43066052534031,232
292,random,,1764197.563048095,76.41975630480951,210
280,random,,1763911.848708131,76.39118487081309,200
295,random,,1763732.8480912992,76.37328480912993,159
253,random,,1763496.2754054149,76.34962754054149,216
243,random,,1763469.6704573696,76.34696704573696,195
274,random,,1762873.3414972275,76.28733414972275,148
260,random,,1762820.2440715295,76.28202440715295,195
266,random,,1762675.7330500083,76.26757330500082,144
279,random,,1761602.6128265022,76.16026128265021,204
240,random,,1761545.7405851875,76.15457405851875,174
244,random,,1761462.9324136218,76.14629324136217,172
299,random,,1761265.3483973928,76.12653483973928,224
264,random,,1760416.255429476,76.0416255429476,175
271,random,,1760373.8625097775,76.03738625097776,172
281,random,,1760046.869264914,76.0046869264914,191
298,random,,1760028.1854079356,76.00281854079356,211
261,random,,1759891.2786982562,75.98912786982564,136
247,random,,1759701.6982012526,75.97016982012525,139
250,random,,1759539.036134399,75.9539036134399,190
238,random,,1759264.4299794189,75.92644299794189,132
277,random,,1758908.0779629457,75.89080779629455,102
252,random,,1758373.3616372743,75.83733616372743,177
258,random,,1757465.0005385068,75.74650005385068,153
199,value,,1739375.101221604,73.9375101221604,240
193,value,,1739112.9054727918,73.91129054727918,249
156,value,,1737739.5255302778,73.77395255302777,256
224,value,,1737490.76204942,73.749076204942,229
222,value,,1737251.8115546089,73.72518115546089,245
181,value,,1736327.3489892117,73.63273489892117,240
211,value,,1736261.4831236447,73.62614831236446,250
229,value,,1735751.779483023,73.57517794830231,256
198,value,,1735273.0723309852,73.52730723309853,233
232,value,,1734250.0767823106,73.42500767823105,262
187,value,,1734184.9297745554,73.41849297745553,222
226,value,,1733821.938521645,73.3821938521645,259
148,value,,1733549.450645994,73.35494506459939,232
217,value,,1733303.7391938767,73.33037391938768,248
145,value,,1732972.5219424902,73.29725219424903,255
177,value,,1732718.8075623973,73.27188075623974,242
235,value,,1732547.4424241846,73.25474424241847,250
190,value,,1732287.5137543385,73.22875137543386,262
202,value,,1732076.5073097926,73.20765073097925,275
161,value,,1731541.5155710722,73.15415155710723,247
155,value,,1731530.3983789613,73.15303983789612,267
219,value,,1731236.15953356,73.12361595335601,250
205,value,,1730812.7503477777,73.08127503477778,253
216,value,,1730661.0086486258,73.06610086486258,245
150,value,,1730612.1413041758,73.06121413041757,247
165,value,,1730279.611119185,73.02796111191851,251
166,value,,1729120.7357844652,72.91207357844651,257
204,value,,1728711.6672262421,72.87116672262421,247
234,value,,1728388.43255543,72.83884325554301,237
189,value,,1727674.9808681277,72.76749808681278,237
207,value,,1727442.6584154903,72.74426584154902,234
168,value,,1727267.0694801793,72.72670694801792,274
139,value,,1727002.18068805,72.700218068805,253
136,value,,1726253.8276135474,72.62538276135476,252
183,value,,1726074.924376059,72.60749243760591,255
214,value,,1725618.531998925,72.5618531998925,250
151,value,,1725425.5855547043,72.54255855547042,261
140,value,,1724766.9396127262,72.47669396127263,244
147,value,,1723982.2966080913,72.39822966080914,236
221,value,,1723930.6323595268,72.3930632359527,248
209,value,,1723900.6590534486,72.39006590534487,246
230,value,,1722955.647498203,72.2955647498203,228
203,value,,1722841.6686951914,72.28416686951913,258
141,value,,1722828.3725800966,72.28283725800966,261
175,value,,1722805.7074506893,72.28057074506893,251
142,value,,1722616.4920129508,72.26164920129507,252
228,value,,1722616.0865335567,72.26160865335567,244
158,value,,1722299.199145414,72.2299199145414,238
206,value,,1722026.5187774908,72.20265187774908,250
178,value,,1722018.7090441864,72.20187090441863,258
159,value,,1721456.151705715,72.14561517057152,241
233,value,,1720917.7860410786,72.09177860410787,246
231,value,,1719934.43097245,71.993443097245,237
188,value,,1719505.5408309936,71.95055408309936,242
212,value,,1719374.4423433768,71.93744423433768,249
182,value,,1719286.399162864,71.92863991628641,243
186,value,,1717946.200002415,71.79462000024151,238
195,value,,1717718.7362131656,71.77187362131656,260
179,value,,1717533.2390421135,71.75332390421136,254
215,value,,1717284.3332452227,71.72843332452229,247
160,value,,1716977.207516781,71.6977207516781,244
176,value,,1716819.917649326,71.68199176493259,236
154,value,,1716781.928171613,71.6781928171613,245
213,value,,1716580.7190610562,71.65807190610562,248
220,value,,1716495.5438951843,71.64955438951843,239
208,value,,1716381.0645393156,71.63810645393156,256
180,value,,1716263.7641237762,71.62637641237761,275
194,value,,1715975.3973714793,71.59753973714793,247
143,value,,1715202.2558166129,71.5202255816613,244
218,value,,1715187.0028068763,71.51870028068763,247
196,value,,1715159.5721179298,71.51595721179298,263
185,value,,1715110.3978228923,71.51103978228923,234
163,value,,1714699.2374174925,71.46992374174926,259
153,value,,1714235.5894722654,71.42355894722654,261
191,value,,1712017.3800582138,71.2017380058214,248
201,value,,1711822.6029652369,71.18226029652368,244
223,value,,1711750.2689230163,71.17502689230162,252
152,value,,1711745.0303420303,71.17450303420303,265
169,value,,1711388.5187032712,71.13885187032712,243
192,value,,1710777.8007182293,71.07778007182293,246
170,value,,1710431.9616885902,71.04319616885901,255
172,value,,1709997.0920331636,70.99970920331637,231
210,value,,1709472.033919897,70.9472033919897,268
171,value,,1708892.8463200056,70.88928463200057,257
137,value,,1708765.768802559,70.8765768802559,254
227,value,,1708458.0947571523,70.84580947571521,262
146,value,,1708104.824294034,70.8104824294034,236
149,value,,1708050.2736226385,70.80502736226386,276
197,value,,1707696.671239257,70.76966712392571,258
157,value,,1707301.6295597027,70.73016295597027,245
167,value,,1705955.7908242275,70.59557908242276,246
174,value,,1705908.3712847074,70.59083712847074,242
164,value,,1704709.5038211346,70.47095038211346,282
225,value,,1703299.9419760213,70.32999419760213,249
162,value,,1703240.278492705,70.3240278492705,254
138,value,,1702249.4070690756,70.22494070690757,256
144,value,,1702186.796082135,70.2186796082135,251
173,value,,1700363.2201532181,70.03632201532182,248
200,value,,1699684.6440269584,69.96846440269584,237
184,value,,1693684.7449722714,69.36847449722714,244
34,mlp,45.0,1569486.3844238406,56.948638442384045,215
25,cnn,45.0,1539533.1206735238,53.953312067352364,213
22,cnn,30.0,1535403.8048523013,53.54038048523013,208
10,gru,15.0,1473450.757613138,47.345075761313815,211
16,gru,45.0,1463975.3407496926,46.39753407496927,221
13,gru,30.0,1455671.4648515005,45.567146485150055,215
7,lstm,45.0,1401155.030647149,40.1155030647149,231
1,lstm,15.0,1372265.1912212905,37.22651912212904,183
19,cnn,15.0,1350417.6781195176,35.041767811951765,196
33,mlp,45.0,1349983.8229459883,34.99838229459882,220
24,cnn,45.0,1334212.7182400094,33.42127182400094,210
6,lstm,45.0,1284479.3650550386,28.447936505503858,184
18,cnn,15.0,1278339.736620073,27.833973662007306,220
30,mlp,30.0,1258645.9766249591,25.864597662495914,226
21,cnn,30.0,1236285.8956439306,23.628589564393067,238
0,lstm,15.0,1202469.9432199276,20.24699432199275,203
15,gru,45.0,1160271.3080745111,16.02713080745111,244
3,lstm,30.0,1054926.95300849,5.492695300848993,188
27,mlp,15.0,1035939.3955608242,3.593939556082426,205
9,gru,15.0,1012228.607402509,1.2228607402508862,188
12,gru,30.0,1011634.8574268537,1.1634857426853662,191
