local_day,day_index,date,price,real_price,log_return,aggregate_action,total_demand,active_agents,alive_agents,best_bid,best_ask,spread,mid_price,num_fills,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random,mean_action_band_low,mean_action_band_mid,mean_action_band_high
0,619,2013-11-22,154.26234200516646,161.25,0.010179460359499655,1.16,1.16,149,300,152.7,152.7,0.0,152.7,0,0.4444444444444444,0.6666666666666666,1.4444444444444444,1.1111111111111112,0.26,2.97,-0.125,1.5,0.25,1.0
1,620,2013-11-25,156.6847823229721,158.05,0.015581358615819281,2.203333333333333,2.203333333333333,154,300,154.26234200516646,154.26234200516646,0.0,154.26234200516646,0,1.1111111111111112,1.0,3.111111111111111,1.2222222222222223,2.61,3.37,0.078125,1.5833333333333333,1.8333333333333333,1.4166666666666667
2,621,2013-11-26,158.38485672497845,151.7,0.010791842126584598,1.2233333333333334,1.2233333333333334,158,300,156.6847823229721,156.6847823229721,0.0,156.6847823229721,0,1.3333333333333333,0.8888888888888888,0.8888888888888888,1.1111111111111112,-0.89,4.0,0.28125,0.5833333333333334,1.1666666666666667,1.4166666666666667
3,622,2013-11-27,159.07055914574184,157.05,0.004319998669961474,0.6633333333333333,0.6633333333333333,154,300,158.38485672497845,158.38485672497845,0.0,158.38485672497845,0,1.4444444444444444,2.0,2.5555555555555554,0.8888888888888888,-1.95,3.19,0.203125,1.9166666666666667,1.5833333333333333,1.6666666666666667
4,623,2013-11-28,161.2548363666446,157.95,0.013638076201089016,1.9033333333333333,1.9033333333333333,150,300,159.07055914574184,159.07055914574184,0.0,159.07055914574184,0,0.4444444444444444,1.0,2.2222222222222223,0.3333333333333333,2.13,3.08,0.21875,0.5,0.75,1.75
5,624,2013-11-29,162.57700584828672,159.7,0.00816582346887064,1.72,1.72,159,300,161.2548363666446,161.2548363666446,0.0,161.2548363666446,0,1.1111111111111112,1.6666666666666667,1.4444444444444444,1.1111111111111112,1.03,3.49,0.25,0.75,0.75,2.5
6,625,2013-12-02,164.59885034446657,158.1,0.012359532010650128,1.8566666666666667,1.8566666666666667,159,300,162.57700584828672,162.57700584828672,0.0,162.57700584828672,0,0.8888888888888888,2.2222222222222223,2.2222222222222223,1.2222222222222223,1.05,3.64,0.453125,1.6666666666666667,0.8333333333333334,2.4166666666666665
7,626,2013-12-03,165.64902533889577,154.45,0.006359941193372638,1.2466666666666666,1.2466666666666666,144,300,164.59885034446657,164.59885034446657,0.0,164.59885034446657,0,1.2222222222222223,1.0,2.111111111111111,1.0,-0.12,3.3,0.125,1.0833333333333333,1.25,1.6666666666666667
8,627,2013-12-04,166.36287976929046,160.4,0.004300180321453815,0.7433333333333333,0.7433333333333333,151,300,165.64902533889577,165.64902533889577,0.0,165.64902533889577,0,0.7777777777777778,0.5555555555555556,2.3333333333333335,0.6666666666666666,-1.35,3.14,0.078125,1.5,0.6666666666666666,1.0833333333333333
9,628,2013-12-05,167.95584192526192,163.3,0.00952967397842462,2.02,2.02,150,300,166.36287976929046,166.36287976929046,0.0,166.36287976929046,0,0.2222222222222222,1.2222222222222223,1.2222222222222223,0.4444444444444444,2.15,3.41,0.34375,0.8333333333333334,0.4166666666666667,1.0833333333333333
10,629,2013-12-06,170.02571807960297,164.85,0.01224860925905021,1.9366666666666668,1.9366666666666668,154,300,167.95584192526192,167.95584192526192,0.0,167.95584192526192,0,1.0,1.1111111111111112,1.7777777777777777,0.6666666666666666,1.51,3.71,0.28125,1.5,1.1666666666666667,0.75
11,630,2013-12-09,171.38193128136814,159.95,0.007944873748978731,1.5333333333333334,1.5333333333333334,149,300,170.02571807960297,170.02571807960297,0.0,170.02571807960297,0,1.0,0.6666666666666666,1.5555555555555556,1.2222222222222223,0.99,3.17,0.0625,0.08333333333333333,1.6666666666666667,1.5833333333333333
12,631,2013-12-10,171.6322519695718,156.95,0.001459535756033472,0.7033333333333334,0.7033333333333334,160,300,171.38193128136814,171.38193128136814,0.0,171.38193128136814,0,0.8888888888888888,1.0,1.8888888888888888,1.6666666666666667,-1.85,3.38,0.140625,1.5833333333333333,1.25,1.25
13,632,2013-12-11,172.14620973584837,154.2,0.0029900543893507975,0.7566666666666667,0.7566666666666667,153,300,171.6322519695718,171.6322519695718,0.0,171.6322519695718,0,0.4444444444444444,1.3333333333333333,1.5555555555555556,1.0,-1.13,3.06,-0.078125,1.5833333333333333,1.1666666666666667,0.5
14,633,2013-12-12,172.36241898680706,152.0,0.0012551748276735395,0.07666666666666666,0.07666666666666666,133,300,172.14620973584837,172.14620973584837,0.0,172.14620973584837,0,0.5555555555555556,0.3333333333333333,1.0,1.4444444444444444,-1.18,1.27,-0.25,1.1666666666666667,0.3333333333333333,1.0
15,634,2013-12-13,171.81832342312774,156.35,-0.0031616877406523674,-0.8233333333333334,-0.8233333333333334,148,300,172.36241898680706,172.36241898680706,0.0,172.36241898680706,0,0.3333333333333333,0.8888888888888888,1.7777777777777777,0.6666666666666666,-1.27,-1.32,-0.328125,1.0,0.8333333333333334,0.9166666666666666
16,635,2013-12-16,172.739594296197,157.55,0.005347565800200183,1.23,1.23,158,300,171.81832342312774,171.81832342312774,0.0,171.81832342312774,0,0.2222222222222222,0.3333333333333333,1.0,0.4444444444444444,1.27,2.44,-0.3125,0.5,0.5833333333333334,0.4166666666666667
17,636,2013-12-17,173.74333426914433,158.3,0.0057938945794458446,1.31,1.31,147,300,172.739594296197,172.739594296197,0.0,172.739594296197,0,0.4444444444444444,0.7777777777777778,0.3333333333333333,1.8888888888888888,0.75,2.74,0.203125,0.6666666666666666,0.9166666666666666,1.0
18,637,2013-12-18,175.0645136059454,167.2,0.007575435375538685,1.3466666666666667,1.3466666666666667,155,300,173.74333426914433,173.74333426914433,0.0,173.74333426914433,0,0.5555555555555556,1.0,2.888888888888889,1.4444444444444444,0.55,2.95,0.015625,1.3333333333333333,1.5,1.5833333333333333
19,638,2013-12-19,177.13896002069728,163.2,0.011779954252675176,1.9933333333333334,1.9933333333333334,145,300,175.0645136059454,175.0645136059454,0.0,175.0645136059454,0,0.5555555555555556,0.6666666666666666,2.5555555555555554,0.6666666666666666,2.71,2.92,-0.078125,1.0,0.4166666666666667,1.9166666666666667
