agent_id,type,risk,fear,boldness,range_stock,final_wealth,return_pct,risk_band
0,momentum,0.29611194,0.76744354,0.70981216,5.770066,1320575.625,32.0575625,low
1,momentum,0.5165623,0.40579492,0.502475,9.420597,1761738.375,76.17383749999999,mid
2,momentum,0.25167072,0.15478092,0.5684089,9.837499,1265041.5,26.504149999999992,low
3,momentum,0.6885568,0.520075,0.9294166,4.699395,2405945.5,140.59455,high
4,momentum,0.07397246,0.8772899,0.5060524,3.5910933,1088189.75,8.818974999999995,low
5,momentum,0.86652195,0.9576699,0.6270322,4.91486,5080376.0,408.0376,high
6,momentum,0.13657987,0.12259948,0.52374756,2.5245457,1114164.625,11.41646249999999,low
7,momentum,0.10247904,0.2741655,0.88450956,3.4344196,1105123.625,10.512362500000005,low
8,momentum,0.18405646,0.8893122,0.9208847,2.5663633,1171009.375,17.10093749999999,low
9,momentum,0.72644675,0.7443891,0.771876,2.5858395,2686393.5,168.63934999999998,high
10,momentum,0.3152539,0.8095065,0.62432104,9.016007,1389537.0,38.953700000000005,low
11,momentum,0.68710667,0.25113285,0.6893912,6.716812,2425989.5,142.59895,high
12,momentum,0.075635314,0.93076724,0.76457155,3.6361115,1100504.875,10.050487499999994,low
13,momentum,0.19663817,0.088967025,0.8547735,1.0646996,1154847.25,15.484725,low
14,momentum,0.31641197,0.47591555,0.75431865,7.4630966,1392918.5,39.29185,low
15,momentum,0.40174013,0.51038146,0.63343817,2.7137067,1437988.5,43.79884999999999,mid
16,momentum,0.1185683,0.5839839,0.7621106,1.0461469,1093058.0,9.305800000000009,low
17,momentum,0.8273954,0.12270802,0.7576588,1.1052761,3964945.0,296.4945,high
18,momentum,0.38208443,0.9587332,0.75233024,6.9407606,1473350.375,47.33503750000001,mid
19,momentum,0.66049385,0.9913866,0.8587412,6.4309483,2276211.0,127.6211,high
20,momentum,0.8535718,0.15469629,0.65578175,5.5524,4630677.5,363.06775,high
21,momentum,0.593153,0.5184704,0.7657457,1.1811371,1919880.5,91.98805000000002,mid
22,momentum,0.63672537,0.23366892,0.75106597,6.9632535,2137789.75,113.778975,mid
23,momentum,0.98262936,0.9794423,0.855541,1.665926,35976080.0,3497.608,high
24,momentum,0.2744953,0.77883285,0.5969629,6.1094227,1309935.625,30.993562500000003,low
25,momentum,0.6583756,0.79445034,0.55454725,6.0103655,2238813.5,123.88135,high
26,momentum,0.27754194,0.66130227,0.5465318,2.391346,1256992.875,25.69928749999999,low
27,momentum,0.85732484,0.4502216,0.8550329,5.372981,4757270.5,375.72704999999996,high
28,momentum,0.89932823,0.7815312,0.94889,1.9798206,6548927.0,554.8927,high
29,momentum,0.039013863,0.5085141,0.9979619,9.24535,1127309.625,12.73096250000001,low
30,momentum,0.9268229,0.3176424,0.8392713,3.7246416,8850772.0,785.0772,high
